session_id,session_len,warmup_optimal_games,fg_result_score,fg_pl,fg_rating_diff,fg_my_rating,fg_opp_rating,fg_time_of_day,fg_day_of_week,fg_phase,fg_rated_int,fg_num_blunders,fg_num_mistakes,fg_avg_move_time,hist_n_games,hist_mean_pl,hist_std_pl,hist_mean_result,hist_std_result,hist_mean_rating_diff,hist_mean_my_rating,hist_mean_opp_rating,hist_mean_blunders_lastN,hist_mean_mistakes_lastN,hist_mean_move_time_lastN,warmup_pred
51,23,1,0.0,-1.0,7.0,1917.0,1924.0,17.083333333333332,3.0,0.0,1,,,,30,0.03333333333333333,0.9480975102218595,0.5166666666666667,0.4740487551109297,9.533333333333333,1909.0666666666666,1918.6,,,,0.9999582
52,10,0,1.0,1.0,10.0,1947.0,1957.0,8.133333333333333,4.0,0.0,1,,,,30,0.13333333333333333,0.9568466729604881,0.5666666666666667,0.47842333648024404,3.6666666666666665,1910.0333333333333,1913.7,,,,0.00015524834
53,5,0,1.0,1.0,-19.0,1953.0,1934.0,12.533333333333333,4.0,0.0,1,,,,30,0.2,0.9451631252505218,0.6,0.4725815626252609,-3.6666666666666665,1922.6,1918.9333333333334,,,,0.0009923759
54,1,0,0.0,-1.0,-17.0,1949.0,1932.0,15.533333333333333,4.0,0.0,1,,,,30,0.13333333333333333,0.9568466729604881,0.5666666666666667,0.47842333648024404,2.6,1927.8333333333333,1930.4333333333334,,,,-0.00015495271
57,3,0,1.0,1.0,-14.0,1927.0,1913.0,12.633333333333333,5.0,0.0,1,,,,30,-0.13333333333333333,0.9568466729604881,0.43333333333333335,0.47842333648024404,1.2666666666666666,1929.2,1930.4666666666667,,,,-0.0034223995
58,1,0,1.0,1.0,17.0,1921.0,1938.0,13.283333333333333,5.0,0.0,1,,,,30,-0.2,0.9451631252505218,0.4,0.4725815626252609,0.4,1947.8666666666666,1948.2666666666667,,,,0.0008482548
59,2,1,0.0,-1.0,6.0,1927.0,1933.0,21.566666666666666,5.0,0.0,1,,,,30,-0.2,0.9451631252505217,0.4,0.47258156262526085,1.6,1946.8,1948.4,,,,0.9993454
60,2,0,0.0,-1.0,-38.0,1927.0,1889.0,12.733333333333333,6.0,0.0,1,,,,30,-0.2,0.9451631252505218,0.4,0.4725815626252609,3.2,1944.6666666666667,1947.8666666666666,,,,0.0033002894
61,4,1,0.0,-1.0,14.0,1914.0,1928.0,16.15,6.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789412,0.36666666666666664,0.46427960923947054,2.6,1942.1666666666667,1944.7666666666667,,,,0.99737775
62,3,0,1.0,1.0,3.0,1913.0,1916.0,19.116666666666667,0.0,0.0,1,,,,30,-0.23333333333333334,0.9551032521262935,0.38333333333333336,0.4775516260631468,-1.6,1936.0,1934.4,,,,0.0030370732
63,3,0,1.0,1.0,46.0,1920.0,1966.0,19.85,0.0,0.0,1,,,,30,-0.23333333333333334,0.9551032521262935,0.38333333333333336,0.4775516260631468,0.4666666666666667,1932.0666666666666,1932.5333333333333,,,,-3.1553343e-05
64,1,0,0.0,-1.0,16.0,1920.0,1936.0,13.816666666666666,1.0,0.0,1,,,,30,-0.13333333333333333,0.9568466729604881,0.43333333333333335,0.47842333648024404,-3.6,1929.0666666666666,1925.4666666666667,,,,-0.0016056531
69,1,0,0.0,-1.0,22.0,1918.0,1940.0,17.666666666666668,3.0,0.0,1,,,,30,-0.03333333333333333,0.9826268648655784,0.48333333333333334,0.49131343243278913,-7.866666666666666,1923.8666666666666,1916.0,,,,0.0022904202
71,8,4,0.0,-1.0,-40.0,1906.0,1866.0,7.316666666666666,4.0,0.0,1,,,,30,-0.16666666666666666,0.9689627902499087,0.4166666666666667,0.4844813951249543,-5.633333333333334,1922.9666666666667,1917.3333333333333,,,,3.9973054
72,1,0,0.0,-1.0,3.0,1894.0,1897.0,13.6,4.0,0.0,1,,,,30,-0.16666666666666666,0.9689627902499088,0.4166666666666667,0.48448139512495436,-1.2666666666666666,1914.5,1913.2333333333333,,,,0.0015390306
73,3,0,1.0,1.0,0.0,1889.0,1889.0,16.833333333333332,4.0,0.0,1,,,,30,-0.23333333333333334,0.9551032521262935,0.38333333333333336,0.4775516260631468,-1.2,1913.5666666666666,1912.3666666666666,,,,-0.005933889
74,3,0,1.0,1.0,-4.0,1883.0,1879.0,18.366666666666667,4.0,0.0,1,,,,30,-0.26666666666666666,0.9637888196533972,0.36666666666666664,0.48189440982669857,-0.36666666666666664,1909.6333333333334,1909.2666666666667,,,,0.005197814
75,5,1,0.0,-1.0,14.0,1889.0,1903.0,20.4,4.0,0.0,1,,,,30,-0.13333333333333333,0.9910712498212336,0.43333333333333335,0.4955356249106168,1.4666666666666666,1906.3333333333333,1907.8,,,,0.99954486
80,6,1,0.0,-1.0,-3.0,1892.0,1889.0,20.816666666666666,5.0,0.0,1,,,,30,-0.06666666666666667,0.9977753031397177,0.4666666666666667,0.49888765156985887,3.6,1876.0333333333333,1879.6333333333334,,,,1.0010538
81,28,5,0.0,-1.0,-6.0,1900.0,1894.0,9.116666666666667,6.0,0.0,1,,,,30,0.13333333333333333,0.9910712498212336,0.5666666666666667,0.4955356249106168,-8.666666666666666,1877.7333333333333,1869.0666666666666,,,,4.9980044
82,2,0,1.0,1.0,-42.0,1912.0,1870.0,10.783333333333333,6.0,0.0,1,,,,30,-0.03333333333333333,0.9826268648655784,0.48333333333333334,0.49131343243278913,32.166666666666664,1901.7333333333333,1933.9,,,,-0.0032159085
83,3,0,1.0,1.0,-55.0,1913.0,1858.0,11.55,6.0,0.0,1,,,,30,-0.03333333333333333,0.9826268648655784,0.48333333333333334,0.49131343243278913,36.13333333333333,1902.5,1938.6333333333334,,,,0.0006499391
84,2,0,0.0,-1.0,35.0,1918.0,1953.0,6.3,0.0,0.0,1,,,,30,0.03333333333333333,0.9826268648655784,0.5166666666666667,0.4913134324327892,37.1,1904.5333333333333,1941.6333333333334,,,,0.00050038385
85,27,0,1.0,1.0,-22.0,1906.0,1884.0,13.85,0.0,0.0,1,,,,30,0.03333333333333333,0.9826268648655784,0.5166666666666667,0.4913134324327892,34.56666666666667,1906.2,1940.7666666666667,,,,0.00096149096
86,38,2,0.0,-1.0,-16.0,1938.0,1922.0,18.866666666666667,0.0,0.0,1,,,,30,0.03333333333333333,0.9826268648655784,0.5166666666666667,0.4913134324327892,16.6,1938.9666666666667,1955.5666666666666,,,,1.9990205
87,12,2,0.0,-1.0,-20.0,1899.0,1879.0,6.466666666666667,1.0,0.0,1,,,,30,-0.26666666666666666,0.9637888196533972,0.36666666666666664,0.48189440982669857,90.33333333333333,1764.4333333333334,1854.7666666666667,,,,1.9993386
90,2,0,0.0,-1.0,-43.0,1876.0,1833.0,19.516666666666666,1.0,0.0,1,,,,30,-0.3,0.9363047936792093,0.35,0.46815239683960463,99.56666666666666,1789.1,1888.6666666666667,,,,0.0019048464
91,2,1,0.0,-1.0,-5.0,1500.0,1495.0,21.066666666666666,1.0,0.0,1,,,,30,-0.36666666666666664,0.9122621455602672,0.31666666666666665,0.4561310727801336,93.06666666666666,1795.3,1888.3666666666666,,,,0.9984253
92,1,0,0.0,-1.0,0.0,1864.0,1864.0,6.533333333333333,2.0,0.0,1,,,,30,-0.3333333333333333,0.9067647005823628,0.3333333333333333,0.4533823502911814,64.36666666666666,1795.3,1859.6666666666667,,,,0.0027471855
93,2,0,1.0,1.0,-68.0,1858.0,1790.0,17.833333333333332,2.0,0.0,1,,,,30,-0.3333333333333333,0.9067647005823628,0.3333333333333333,0.4533823502911814,64.86666666666666,1810.1333333333334,1875.0,,,,-0.0022583704
95,4,0,1.0,1.0,-48.0,1857.0,1809.0,7.783333333333333,3.0,0.0,1,,,,30,-0.4,0.8793937305515279,0.3,0.43969686527576396,35.833333333333336,1803.9333333333334,1839.7666666666667,,,,-0.00089366245
97,7,0,1.0,1.0,16.0,1192.0,1208.0,15.6,3.0,0.0,0,,,,30,-0.4,0.916515138991168,0.3,0.458257569495584,104.36666666666666,1530.0666666666666,1634.4333333333334,,,,0.0010186869
98,9,1,0.0,-1.0,236.0,1491.0,1727.0,16.866666666666667,3.0,0.0,1,,,,30,-0.4666666666666667,0.8844332774281065,0.26666666666666666,0.44221663871405326,157.8,1472.8,1630.6,,,,1.0011929
100,5,2,1.0,1.0,-12.0,1835.0,1823.0,12.75,4.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789411,0.36666666666666664,0.46427960923947054,134.66666666666666,1451.6,1586.2666666666667,,,,2.0002594
102,8,4,0.0,-1.0,7.0,1838.0,1845.0,11.3,5.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789412,0.36666666666666664,0.46427960923947054,125.56666666666666,1687.8333333333333,1813.4,,,,3.995515
103,1,0,0.0,-1.0,-3.0,1817.0,1814.0,14.1,5.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789412,0.36666666666666664,0.46427960923947054,82.73333333333333,1740.7,1823.4333333333334,,,,-0.00036900988
104,12,0,1.0,1.0,8.0,1811.0,1819.0,9.683333333333334,6.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789412,0.36666666666666664,0.46427960923947054,73.23333333333333,1746.9666666666667,1820.2,,,,0.003977867
106,2,0,1.0,1.0,-15.0,1901.0,1886.0,15.966666666666667,6.0,0.0,1,,,,30,0.26666666666666666,0.9285592184789412,0.6333333333333333,0.4642796092394706,13.333333333333334,1876.0333333333333,1889.3666666666666,,,,-0.00034752378
